timeStamp,elapsed,label,responseCode,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1762084800000,811,/api/subscriptions,200,true,,1032,464,7,13,569,0,120
1762084800000,543,/api/subscriptions,201,true,,1267,192,7,10,291,0,49
1762084801000,582,/api/subscriptions,200,true,,1304,560,5,16,360,0,95
1762084801000,815,/api/subscriptions,200,true,,787,373,5,13,466,0,133
1762084802000,700,/api/subscriptions,200,true,,1178,520,3,5,576,0,106
1762084802000,418,/api/subscriptions,200,true,,815,229,10,18,353,0,74
1762084802000,364,/api/subscriptions,200,true,,1253,199,4,18,282,0,53
1762084803000,1287,/api/subscriptions,500,false,HTTP error,1377,543,10,17,948,0,204
1762084803000,1014,/api/subscriptions,400,false,HTTP error,528,589,8,5,866,0,105
1762084804000,265,/api/subscriptions,200,true,,857,301,10,13,182,0,43
1762084804000,366,/api/subscriptions,200,true,,1290,405,6,12,259,0,42
1762084804000,431,/api/subscriptions,200,true,,1184,258,6,11,299,0,27
1762084805000,369,/api/subscriptions,200,true,,415,396,9,18,282,0,28
1762084805000,826,/api/subscriptions,400,false,HTTP error,1033,289,9,10,466,0,62
1762084805000,545,/api/subscriptions,200,true,,807,607,10,8,326,0,35
1762084806000,1393,/api/subscriptions,400,false,HTTP error,1340,191,2,20,952,0,173
1762084806000,687,/api/subscriptions,200,true,,1263,548,8,5,374,0,96
1762084807000,996,/api/subscriptions,404,false,HTTP error,553,335,1,9,801,0,73
1762084807000,178,/api/subscriptions,200,true,,1319,537,3,6,103,0,13
1762084808000,882,/api/subscriptions,500,false,HTTP error,922,505,6,16,597,0,58
1762084808000,523,/api/subscriptions,200,true,,1052,431,3,7,389,0,48
1762084808000,721,/api/subscriptions,200,true,,697,611,8,9,533,0,125
1762084809000,701,/api/subscriptions,200,true,,1201,242,8,16,576,0,83
1762084810000,158,/api/subscriptions,200,true,,1350,284,6,12,137,0,20
1762084811000,484,/api/subscriptions,200,true,,1230,635,6,18,359,0,87
1762084811000,737,/api/subscriptions,200,true,,934,510,1,14,451,0,91
1762084811000,1482,/api/subscriptions,404,false,HTTP error,465,571,4,6,830,0,80
1762084812000,956,/api/subscriptions,404,false,HTTP error,779,272,4,6,645,0,132
1762084812000,247,/api/subscriptions,200,true,,560,510,5,7,188,0,35
1762084813000,160,/api/subscriptions,200,true,,1482,573,2,13,140,0,28
1762084814000,541,/api/subscriptions,200,true,,926,404,9,6,331,0,29
1762084814000,1078,/api/subscriptions,404,false,HTTP error,987,479,5,11,910,0,164
1762084815000,495,/api/subscriptions,200,true,,1384,318,9,8,270,0,52
1762084815000,236,/api/subscriptions,200,true,,466,677,9,18,158,0,30
1762084816000,610,/api/subscriptions,201,true,,1110,219,2,10,468,0,61
1762084816000,855,/api/subscriptions,500,false,HTTP error,672,243,9,14,581,0,106
1762084817000,263,/api/subscriptions,200,true,,657,430,8,19,206,0,50
1762084817000,848,/api/subscriptions,200,true,,1430,354,7,12,449,0,140
1762084818000,402,/api/subscriptions,200,true,,805,450,3,20,233,0,65
1762084819000,184,/api/subscriptions,200,true,,1005,590,4,17,109,0,27
1762084819000,1465,/api/subscriptions,400,false,HTTP error,710,584,4,5,789,0,209
1762084820000,441,/api/subscriptions,200,true,,509,630,1,9,339,0,86
