timeStamp,elapsed,label,responseCode,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1762084800000,248,/api/subscriptions,200,true,,1259,172,1,14,149,0,46
1762084801000,744,/api/subscriptions,200,true,,605,635,4,20,568,0,112
1762084801000,697,/api/subscriptions,200,true,,1363,248,6,15,443,0,87
1762084802000,249,/api/subscriptions,200,true,,617,567,4,18,152,0,32
1762084802000,469,/api/subscriptions,200,true,,491,443,2,5,361,0,43
1762084803000,318,/api/subscriptions,200,true,,1031,311,3,11,248,0,23
1762084804000,236,/api/subscriptions,200,true,,721,290,2,6,128,0,20
1762084805000,1012,/api/subscriptions,400,false,HTTP error,1349,497,9,12,606,0,162
1762084805000,462,/api/subscriptions,200,true,,410,330,8,7,340,0,28
1762084805000,198,/api/subscriptions,200,true,,1468,341,10,16,155,0,23
1762084806000,531,/api/subscriptions,200,true,,655,300,9,11,402,0,61
1762084806000,752,/api/subscriptions,200,true,,619,638,1,17,618,0,72
1762084806000,510,/api/subscriptions,200,true,,826,307,6,20,402,0,94
1762084807000,875,/api/subscriptions,200,true,,979,684,6,6,608,0,50
1762084807000,787,/api/subscriptions,200,true,,842,668,6,20,687,0,51
1762084808000,569,/api/subscriptions,200,true,,477,619,9,11,500,0,50
1762084809000,723,/api/subscriptions,200,true,,1058,512,6,7,523,0,131
1762084809000,170,/api/subscriptions,200,true,,1362,552,7,13,146,0,9
1762084810000,967,/api/subscriptions,404,false,HTTP error,1173,475,5,8,607,0,146
1762084811000,1019,/api/subscriptions,404,false,HTTP error,1334,561,2,12,539,0,122
1762084811000,1155,/api/subscriptions,404,false,HTTP error,1363,388,6,13,815,0,187
1762084812000,139,/api/subscriptions,201,true,,1369,655,6,19,92,0,24
1762084813000,811,/api/subscriptions,200,true,,1099,484,8,5,480,0,150
1762084813000,336,/api/subscriptions,200,true,,1206,242,9,13,259,0,39
1762084814000,279,/api/subscriptions,200,true,,1420,681,8,12,146,0,40
1762084814000,180,/api/subscriptions,200,true,,877,209,10,17,126,0,20
1762084815000,543,/api/subscriptions,200,true,,449,647,2,9,291,0,98
1762084815000,427,/api/subscriptions,200,true,,452,271,7,15,294,0,51
1762084816000,458,/api/subscriptions,200,true,,498,647,10,8,283,0,87
1762084816000,142,/api/subscriptions,200,true,,1041,550,3,8,118,0,25
1762084817000,766,/api/subscriptions,200,true,,436,296,3,13,685,0,49
1762084818000,1323,/api/subscriptions,500,false,HTTP error,1264,698,8,6,1132,0,130
1762084818000,461,/api/subscriptions,200,true,,1387,415,9,13,232,0,70
1762084819000,109,/api/subscriptions,200,true,,1032,349,5,19,55,0,21
1762084820000,852,/api/subscriptions,400,false,HTTP error,1004,341,9,18,704,0,103
1762084820000,459,/api/subscriptions,200,true,,659,699,3,6,267,0,78
1762084820000,1375,/api/subscriptions,400,false,HTTP error,656,654,1,12,1215,0,266
1762084821000,829,/api/subscriptions,200,true,,1096,671,6,19,632,0,89
1762084821000,429,/api/subscriptions,200,true,,685,290,3,12,319,0,56
1762084821000,679,/api/subscriptions,200,true,,1143,700,4,8,599,0,43
1762084822000,380,/api/subscriptions,200,true,,924,457,9,13,190,0,45
1762084822000,1122,/api/subscriptions,404,false,HTTP error,1303,402,10,20,918,0,156
1762084823000,408,/api/subscriptions,200,true,,881,235,4,19,263,0,58
1762084824000,486,/api/subscriptions,200,true,,873,498,7,11,335,0,85
1762084825000,519,/api/subscriptions,200,true,,811,341,6,19,300,0,32
1762084825000,278,/api/subscriptions,201,true,,1392,167,4,15,176,0,40
1762084826000,128,/api/subscriptions,200,true,,1440,335,5,12,78,0,14
1762084827000,1154,/api/subscriptions,400,false,HTTP error,961,516,9,17,678,0,124
1762084827000,419,/api/subscriptions,200,true,,1382,698,9,5,347,0,43
1762084827000,851,/api/subscriptions,200,true,,1199,423,3,10,564,0,162
1762084828000,142,/api/subscriptions,200,true,,1366,322,7,19,104,0,11
1762084829000,920,/api/subscriptions,400,false,HTTP error,557,627,4,16,477,0,89
1762084829000,578,/api/subscriptions,200,true,,1358,449,8,11,310,0,88
1762084829000,107,/api/subscriptions,201,true,,1458,353,1,18,64,0,19
1762084830000,644,/api/subscriptions,200,true,,504,398,3,20,381,0,111
1762084830000,132,/api/subscriptions,200,true,,730,657,10,20,91,0,17
1762084830000,454,/api/subscriptions,200,true,,1286,686,9,18,381,0,34
1762084831000,1382,/api/subscriptions,500,false,HTTP error,1094,224,3,15,1001,0,112
1762084831000,1225,/api/subscriptions,400,false,HTTP error,624,351,2,12,1046,0,140
1762084831000,440,/api/subscriptions,200,true,,1497,456,10,7,356,0,80
1762084832000,347,/api/subscriptions,200,true,,1260,484,1,12,176,0,65
1762084832000,1336,/api/subscriptions,404,false,HTTP error,572,587,9,15,760,0,160
1762084832000,508,/api/subscriptions,200,true,,880,501,10,6,358,0,81
1762084833000,1398,/api/subscriptions,404,false,HTTP error,1072,623,5,11,875,0,174
1762084833000,819,/api/subscriptions,404,false,HTTP error,1074,636,7,14,521,0,47
1762084833000,758,/api/subscriptions,200,true,,989,357,6,5,469,0,83
