timeStamp,elapsed,label,responseCode,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1762084800000,327,/api/subscriptions,404,false,HTTP error,1177,228,8,18,291,0,35
1762084800000,262,/api/subscriptions,500,false,HTTP error,1173,482,2,14,204,0,39
1762084800000,601,/api/subscriptions,200,true,,845,697,6,15,476,0,74
1762084800000,900,/api/subscriptions,200,true,,947,234,5,6,674,0,167
1762084800000,443,/api/subscriptions,200,true,,1041,506,7,14,361,0,50
1762084800000,385,/api/subscriptions,200,true,,522,381,2,9,300,0,19
1762084800000,195,/api/subscriptions,200,true,,1099,469,5,20,126,0,14
1762084800000,334,/api/subscriptions,400,false,HTTP error,740,357,10,6,290,0,30
1762084800000,776,/api/subscriptions,200,true,,954,599,5,10,450,0,44
1762084800000,891,/api/subscriptions,200,true,,840,529,4,17,586,0,52
1762084800000,374,/api/subscriptions,400,false,HTTP error,895,621,5,6,187,0,21
1762084800000,839,/api/subscriptions,200,true,,939,393,4,15,645,0,58
1762084800000,384,/api/subscriptions,200,true,,1119,637,1,16,238,0,47
1762084800000,787,/api/subscriptions,500,false,HTTP error,529,581,10,20,589,0,67
1762084800000,531,/api/subscriptions,200,true,,601,554,7,11,477,0,69
1762084800000,838,/api/subscriptions,200,true,,550,302,10,19,421,0,128
1762084800000,176,/api/subscriptions,200,true,,1106,671,7,16,108,0,11
1762084800000,744,/api/subscriptions,201,true,,920,167,10,5,582,0,128
1762084800000,365,/api/subscriptions,200,true,,1020,208,6,20,243,0,54
1762084800000,371,/api/subscriptions,201,true,,1234,388,8,5,316,0,66
1762084800000,374,/api/subscriptions,200,true,,1177,543,7,15,212,0,49
1762084800000,776,/api/subscriptions,200,true,,804,661,5,14,614,0,116
1762084800000,159,/api/subscriptions,200,true,,852,443,7,14,123,0,12
1762084800000,248,/api/subscriptions,200,true,,1183,595,6,7,173,0,36
1762084800000,874,/api/subscriptions,400,false,HTTP error,459,601,9,7,657,0,142
1762084800000,890,/api/subscriptions,200,true,,821,698,7,12,570,0,59
1762084800000,334,/api/subscriptions,200,true,,1369,537,10,18,285,0,26
1762084800000,154,/api/subscriptions,200,true,,1126,232,2,11,113,0,16
1762084800000,100,/api/subscriptions,200,true,,1494,572,8,19,52,0,14
1762084800000,622,/api/subscriptions,200,true,,1405,380,1,7,463,0,114
1762084800000,307,/api/subscriptions,200,true,,883,501,2,5,269,0,34
1762084800000,176,/api/subscriptions,200,true,,1147,561,10,11,97,0,33
1762084800000,360,/api/subscriptions,200,true,,903,340,8,10,281,0,47
1762084800000,108,/api/subscriptions,200,true,,1259,537,5,16,63,0,8
1762084800000,859,/api/subscriptions,200,true,,1353,225,1,10,630,0,163
1762084800000,555,/api/subscriptions,400,false,HTTP error,1433,593,6,11,454,0,59
1762084800000,302,/api/subscriptions,201,true,,1308,692,4,11,200,0,50
1762084800000,191,/api/subscriptions,200,true,,492,364,10,15,106,0,28
1762084801000,270,/api/subscriptions,201,true,,854,313,1,5,203,0,33
1762084801000,499,/api/subscriptions,200,true,,648,534,10,9,409,0,25
1762084801000,290,/api/subscriptions,200,true,,1014,205,10,19,183,0,29
1762084801000,853,/api/subscriptions,200,true,,685,394,6,12,472,0,118
1762084801000,808,/api/subscriptions,200,true,,1234,597,6,13,461,0,42
1762084801000,255,/api/subscriptions,201,true,,1455,263,6,10,199,0,36
1762084801000,155,/api/subscriptions,201,true,,1040,541,5,20,88,0,30
1762084801000,556,/api/subscriptions,200,true,,1420,260,1,20,427,0,31
1762084801000,452,/api/subscriptions,200,true,,580,217,3,11,283,0,73
1762084801000,360,/api/subscriptions,200,true,,589,312,9,16,262,0,38
1762084801000,251,/api/subscriptions,200,true,,717,462,5,8,153,0,33
1762084801000,881,/api/subscriptions,200,true,,1192,252,6,17,541,0,140
1762084801000,643,/api/subscriptions,200,true,,1152,575,4,15,541,0,96
1762084801000,137,/api/subscriptions,200,true,,1237,216,3,17,83,0,19
1762084801000,724,/api/subscriptions,201,true,,612,198,10,11,579,0,37
1762084801000,784,/api/subscriptions,200,true,,478,676,3,10,437,0,40
1762084801000,309,/api/subscriptions,201,true,,1344,294,6,20,272,0,37
1762084801000,730,/api/subscriptions,201,true,,1003,507,1,16,564,0,78
1762084801000,826,/api/subscriptions,200,true,,866,266,2,7,639,0,106
1762084801000,646,/api/subscriptions,400,false,HTTP error,921,483,4,15,514,0,81
1762084801000,845,/api/subscriptions,201,true,,739,488,2,8,745,0,144
1762084801000,496,/api/subscriptions,200,true,,753,530,6,7,362,0,47
1762084801000,634,/api/subscriptions,200,true,,1092,561,1,12,356,0,64
1762084801000,559,/api/subscriptions,200,true,,818,652,4,13,385,0,75
1762084801000,837,/api/subscriptions,200,true,,1153,499,1,14,532,0,61
1762084801000,497,/api/subscriptions,200,true,,1106,555,8,6,284,0,83
1762084801000,812,/api/subscriptions,400,false,HTTP error,1070,354,7,12,720,0,96
1762084801000,683,/api/subscriptions,200,true,,567,525,6,15,586,0,77
1762084801000,705,/api/subscriptions,200,true,,408,354,7,18,386,0,129
1762084801000,865,/api/subscriptions,200,true,,439,687,6,7,592,0,129
1762084801000,602,/api/subscriptions,200,true,,1371,542,1,8,403,0,33
1762084801000,881,/api/subscriptions,500,false,HTTP error,1451,691,1,13,733,0,112
1762084801000,714,/api/subscriptions,200,true,,1028,558,7,9,631,0,108
1762084801000,366,/api/subscriptions,200,true,,913,546,4,6,216,0,25
1762084801000,283,/api/subscriptions,201,true,,737,413,5,6,241,0,15
1762084801000,373,/api/subscriptions,200,true,,1260,286,9,15,229,0,36
1762084801000,472,/api/subscriptions,200,true,,869,552,1,19,372,0,48
1762084801000,869,/api/subscriptions,200,true,,1428,557,7,11,719,0,112
1762084802000,736,/api/subscriptions,404,false,HTTP error,1051,439,4,11,379,0,138
1762084802000,698,/api/subscriptions,201,true,,1003,637,9,12,536,0,53
1762084802000,372,/api/subscriptions,200,true,,722,197,10,20,306,0,35
1762084802000,377,/api/subscriptions,200,true,,497,179,1,8,227,0,19
1762084802000,635,/api/subscriptions,200,true,,856,318,7,12,458,0,45
1762084802000,134,/api/subscriptions,200,true,,1481,561,6,17,77,0,24
1762084802000,193,/api/subscriptions,200,true,,448,651,4,13,102,0,29
1762084802000,621,/api/subscriptions,200,true,,1132,682,6,5,380,0,51
1762084802000,757,/api/subscriptions,200,true,,914,388,7,7,460,0,85
1762084802000,528,/api/subscriptions,200,true,,416,574,8,10,451,0,100
1762084802000,280,/api/subscriptions,200,true,,939,261,6,10,209,0,37
1762084802000,468,/api/subscriptions,200,true,,1405,661,8,20,407,0,40
1762084802000,512,/api/subscriptions,200,true,,1483,473,3,16,411,0,64
1762084802000,197,/api/subscriptions,200,true,,1482,310,7,14,104,0,34
1762084802000,881,/api/subscriptions,201,true,,551,469,9,19,749,0,158
1762084802000,101,/api/subscriptions,200,true,,881,383,5,14,61,0,10
1762084802000,369,/api/subscriptions,201,true,,960,221,3,10,212,0,26
1762084802000,694,/api/subscriptions,200,true,,666,252,2,13,616,0,50
