timeStamp,elapsed,label,responseCode,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1762084800000,346,/api/products,200,true,,1199,625,9,13,198,0,23
1762084800000,264,/api/users,201,true,,989,377,7,13,147,0,17
1762084800000,502,/api/users,200,true,,1320,694,7,16,359,0,64
1762084800000,738,/api/users,200,true,,1288,269,9,18,562,0,94
1762084801000,531,/api/products,200,true,,1352,482,6,9,451,0,36
1762084801000,383,/api/users,500,false,HTTP error,1458,303,9,16,288,0,70
1762084801000,130,/api/products,500,false,HTTP error,610,381,5,14,100,0,15
1762084801000,739,/api/products,200,true,,1182,643,9,5,392,0,140
1762084802000,159,/api/login,200,true,,1066,544,9,13,103,0,31
1762084802000,103,/api/users,200,true,,943,271,10,5,54,0,16
1762084803000,426,/api/users,200,true,,1128,289,8,5,353,0,36
1762084803000,582,/api/orders,201,true,,583,471,1,17,326,0,74
1762084803000,339,/api/products,200,true,,1343,395,7,16,185,0,67
1762084803000,93,/api/products,200,true,,570,573,5,11,65,0,18
1762084804000,617,/api/orders,201,true,,1033,519,9,13,425,0,123
1762084804000,267,/api/orders,201,true,,655,309,2,18,225,0,18
1762084804000,633,/api/users,200,true,,1342,655,10,7,515,0,126
1762084805000,633,/api/products,200,true,,1184,270,1,6,366,0,111
1762084805000,882,/api/login,200,true,,669,262,9,17,488,0,47
1762084806000,118,/api/users,201,true,,1305,524,5,10,71,0,16
1762084806000,488,/api/orders,201,true,,878,424,2,5,328,0,34
1762084807000,560,/api/orders,200,true,,1109,444,3,9,368,0,110
1762084807000,271,/api/login,200,true,,1226,473,4,6,204,0,19
1762084807000,551,/api/login,400,false,HTTP error,1448,206,10,7,418,0,86
1762084808000,700,/api/products,400,false,HTTP error,1243,452,5,11,494,0,38
1762084809000,683,/api/users,200,true,,1336,242,9,8,606,0,86
1762084810000,660,/api/login,400,false,HTTP error,686,695,6,5,584,0,39
1762084811000,682,/api/products,200,true,,752,656,6,8,524,0,34
1762084811000,170,/api/products,200,true,,1180,543,4,7,98,0,20
1762084811000,503,/api/orders,400,false,HTTP error,732,684,7,8,265,0,65
1762084812000,600,/api/products,200,true,,1493,630,8,13,432,0,87
1762084812000,407,/api/orders,500,false,HTTP error,803,649,5,9,341,0,32
1762084813000,568,/api/products,200,true,,1021,235,8,8,499,0,113
1762084814000,123,/api/products,200,true,,531,297,9,16,65,0,10
1762084815000,720,/api/users,400,false,HTTP error,854,637,6,9,646,0,75
1762084815000,192,/api/login,201,true,,675,303,5,6,162,0,9
1762084815000,618,/api/orders,400,false,HTTP error,1321,326,7,6,443,0,66
1762084815000,405,/api/products,200,true,,1222,588,5,8,338,0,77
1762084816000,236,/api/users,201,true,,1008,391,3,9,147,0,37
1762084817000,172,/api/products,200,true,,1156,666,8,15,107,0,19
1762084817000,318,/api/users,200,true,,850,327,5,7,160,0,31
1762084817000,453,/api/products,200,true,,1183,246,10,20,388,0,50
1762084818000,458,/api/users,200,true,,1197,216,9,15,403,0,69
1762084818000,370,/api/login,200,true,,582,640,4,6,199,0,39
1762084818000,433,/api/products,200,true,,580,611,10,9,268,0,45
1762084819000,686,/api/orders,400,false,HTTP error,837,227,7,11,558,0,64
1762084819000,189,/api/login,200,true,,846,385,6,6,129,0,31
1762084819000,495,/api/users,200,true,,1207,489,4,7,383,0,48
1762084819000,852,/api/products,200,true,,1227,241,5,13,615,0,80
1762084820000,368,/api/products,200,true,,1169,474,9,19,318,0,28
1762084820000,585,/api/users,201,true,,1157,653,3,12,327,0,78
1762084820000,442,/api/login,200,true,,623,381,5,17,230,0,42
1762084820000,451,/api/login,200,true,,627,245,7,17,309,0,24
1762084821000,615,/api/orders,200,true,,1051,266,6,11,483,0,51
1762084822000,122,/api/users,400,false,HTTP error,1380,698,10,17,73,0,17
1762084822000,171,/api/orders,200,true,,732,262,5,8,130,0,22
1762084822000,318,/api/users,404,false,HTTP error,630,688,9,17,242,0,63
1762084823000,167,/api/products,200,true,,1486,451,8,19,111,0,23
1762084823000,560,/api/users,200,true,,1315,558,4,14,487,0,82
1762084823000,362,/api/users,400,false,HTTP error,930,380,7,14,298,0,45
1762084824000,128,/api/login,200,true,,1017,335,7,5,108,0,12
1762084824000,517,/api/products,500,false,HTTP error,878,519,4,17,273,0,69
1762084825000,491,/api/orders,200,true,,1112,235,9,8,369,0,73
1762084825000,284,/api/login,200,true,,1188,340,3,17,148,0,43
1762084826000,735,/api/products,404,false,HTTP error,858,252,3,18,441,0,111
1762084826000,895,/api/login,200,true,,1192,693,6,18,518,0,72
1762084826000,685,/api/login,500,false,HTTP error,910,274,7,15,401,0,113
1762084827000,656,/api/products,201,true,,1461,218,6,15,546,0,43
1762084827000,304,/api/login,201,true,,680,471,8,16,183,0,16
